Index,Value
0,101.663
1,94.2727
2,101.607
3,102.36
4,98.3885
5,106.303
6,157.351
7,150.363
8,132.488
9,142.925
10,147.314
11,139.94
12,157.7
13,153.366
14,151.991
15,156.454
16,136.803
17,135.181
18,159.284
19,160.869
20,144.34
21,133.802
22,145.295
23,151.722
24,134.917
25,154.426
26,148.737
27,66.5124
28,59.4383
29,58.0037
30,56.8426
31,60.4032
32,58.3621
33,58.3642
34,58.0727
35,60.6808
36,57.616
37,58.5339
38,59.7713
39,57.5878
40,61.9312
41,58.0974
42,58.2919
43,57.4108
44,61.5736
45,59.2039
46,57.0225
47,61.8367
48,59.2452
49,61.23
50,58.456
51,62.9403
52,58.4785
53,57.7078
54,58.6949
55,59.0678
56,85.9272
57,98.2613
58,95.1674
59,99.4126
60,88.7843
61,98.3368
62,85.0662
63,101.502
64,88.7065
65,110.512
66,88.1699
67,94.7422
68,100.566
69,100.003
70,87.0153
71,89.1571
72,101.764
73,103.704
74,90.4754
75,113.414
76,101.73
77,97.7274
78,97.8003
79,95.3991
80,95.799
81,92.9751
82,92.6477
83,98.1551
84,99.5408
85,94.8994
86,96.9581
87,96.9232
88,101.037
89,104.789
90,101.352
91,96.1205
92,104.924
93,95.3803
94,100.056
95,99.6584
96,97.5797
97,91.7886
98,100.963
99,107.315
100,86.0348
101,94.6797
102,93.0801
103,114.053
104,102.114
105,89.3841
106,103.531
107,107.036
108,108.566
109,105.186
110,96.6365
111,95.7724
112,101.699
113,92.1199
114,110.014
115,90.978
116,90.1366
117,95.258
118,96.1713
119,96.19
120,58.5482
121,57.95
122,64.726
123,58.1679
124,58.6803
125,58.7905
126,61.7471
127,60.705
128,58.2807
129,58.9676
130,58.8569
131,74.5931
132,57.6358
133,61.8009
134,60.3576
135,56.7865
136,57.537
137,61.5585
138,64.4866
139,60.4065
140,62.9458
141,64.1861
142,59.8437
143,58.4596
144,58.7736
145,57.7491
146,58.1987
147,87.4185
148,94.2845
149,87.2109
150,98.8958
151,90.6417
152,92.4673
153,85.9665
154,87.0543
155,90.2319
156,100.745
157,95.2773
158,98.1111
159,88.5168
160,100.125
161,114.677
162,91.137
163,97.118
164,91.5165
165,99.3797
166,95.7022
167,99.5413
168,98.5428
169,101.101
170,102.966
171,99.4805
172,102.481
173,95.3054
174,98.3755
175,97.5693
176,91.7931
177,99.9429
178,93.4392
179,95.2996
180,100.677
181,105.9
182,97.9835
183,101.169
184,102.302
185,102.392
186,95.2193
187,101.523
188,107.034
189,97.9591
190,98.5462
191,97.7979
192,108.856
193,115.203
194,130.825
195,115.07
196,115.223
197,119.44
198,108.941
199,116.963
200,132.358
201,119.844
202,116.312
203,130.691
204,123.526
205,108.812
206,119.787
207,118.659
208,120.187
209,115.859
210,111.233
211,57.6609
212,59.4365
213,65.9251
214,57.2055
215,59.0291
216,58.4633
217,59.4917
218,64.7063
219,58.6874
220,56.6354
221,62.296
222,63.1623
223,69.6304
224,58.995
225,58.5548
226,61.1358
227,57.0299
228,58.6255
229,58.0809
230,59.3552
231,64.3051
232,69.7332
233,64.7413
234,64.0093
235,57.275
236,56.7558
237,59.1603
238,60.0533
239,57.9897
240,110.063
241,93.5628
242,93.4424
243,90.6904
244,85.7363
245,91.7374
246,91.3617
247,88.572
248,90.9389
249,97.8485
250,87.938
251,91.9379
252,101.425
253,88.4591
254,89.7098
255,92.5088
256,94.074
257,87.0879
258,85.1102
259,93.6528
260,93.9406
261,98.717
262,102.654
263,105.62
264,100.827
265,100.873
266,98.6009
267,97.646
268,103.33
269,95.1022
270,95.4772
271,92.8632
272,95.8627
273,94.7627
274,96.3448
275,102.144
276,102.303
277,95.1566
278,97.935
279,101.49
280,97.4764
281,99.9372
282,95.0747
283,97.8135
284,96.0322
285,96.239
286,96.7531
287,155.775
288,139.127
289,155.119
290,150.882
291,134.011
292,171.687
293,160.155
