Index,Value
888,93.3223
889,98.0942
890,93.252
891,95.431
892,95.9715
893,90.2152
894,109.962
895,120.779
896,97.6606
897,87.8078
898,89.3317
899,120.35
900,115.972
901,92.5618
902,89.7263
903,89.5398
904,87.3786
905,85.1004
906,104.108
907,95.2415
908,87.2486
909,110.391
910,106.949
911,110.329
912,90.5847
913,100.411
914,88.8648
915,130.436
916,115.79
917,95.0643
918,2908.87
919,90.6457
920,100.917
921,96.6042
922,92.6635
923,96.7637
924,108.003
925,88.5358
926,88.1872
927,112.07
928,116.601
929,111.091
930,85.7395
931,94.7394
932,90.5823
933,112.938
934,89.9149
935,105.636
936,87.818
937,99.2737
938,88.2522
939,114.112
940,99.0066
941,99.0564
942,103.501
943,84.5374
944,93.6644
945,94.3076
946,104.886
947,96.8407
948,92.4921
949,97.2497
950,87.5323
951,93.3626
952,97.5454
953,93.4022
954,85.7429
955,89.283
956,93.9458
957,103.189
958,98.5814
959,88.1314
960,96.987
961,84.968
962,97.0043
963,93.7827
964,127.3
965,86.9877
966,108.578
967,98.8805
968,95.803
969,101.51
970,93.7056
971,1997.5
972,121.811
973,83.3262
974,84.3677
975,87.8535
976,103.134
977,94.7645
978,88.9112
979,92.9317
980,118.383
981,89.0991
982,92.0648
983,87.4562
984,88.4372
985,83.7182
986,88.0792
987,84.8748
988,95.224
989,93.5385
990,86.8071
991,97.0101
992,89.015
993,97.2924
994,122.175
995,117.389
996,97.9872
997,100.537
998,124.323
999,99.5243
